,key_0,1_x,2_x,cluster_lab,1_y,2_y,cluster_lab_half2,subjects
0,131924,-19.186666,5.052786,3,33.971924,3.6953878,1,131924
1,692964,17.27499,12.390187,2,1.3374219,27.92348,0,692964
2,159946,-23.090307,0.77527195,3,23.239372,4.410473,1,159946
3,122822,13.033621,31.161682,0,35.80773,2.3550086,1,122822
4,352132,8.87458,-42.764572,1,-32.39247,-25.393684,2,352132
5,828862,29.595167,10.28841,2,-13.533621,34.261936,0,828862
6,127933,-20.832254,33.99102,0,-21.180027,5.2350936,2,127933
7,300618,-10.844589,-44.30655,1,-16.34851,-33.893333,3,300618
8,199251,24.591726,3.2742832,2,-5.3353496,20.476217,0,199251
9,120414,12.215754,3.9895265,2,-0.36018556,10.477054,0,120414
10,117930,21.893675,18.381384,2,-4.3715415,18.205082,0,117930
11,149741,8.322022,-7.1251483,2,-21.873983,10.402539,2,149741
12,656657,26.443645,22.910858,2,33.458504,-4.2970943,1,656657
13,211922,-9.667184,-3.5794332,3,16.404545,-1.3632939,1,211922
14,205725,7.250784,-35.328415,1,-35.574406,6.803304,2,205725
15,912447,29.211445,13.835614,2,-6.5199037,34.259865,0,912447
16,820745,9.448086,-40.8272,1,-20.509548,-33.366707,3,820745
17,562446,-21.396687,13.521884,3,29.857521,-23.011148,1,562446
18,878877,-9.966548,39.574528,0,23.794659,5.9998307,1,878877
19,268850,-8.441816,27.47374,0,18.433575,38.215553,0,268850
20,107220,-1.7919878,-11.662789,3,-19.18868,-7.9796367,2,107220
21,749058,-17.505081,-26.585455,3,6.916654,-35.837154,3,749058
22,952863,24.668207,-9.968606,2,-22.667126,21.732582,0,952863
23,108222,-8.080711,40.0874,0,28.075619,32.01465,0,108222
24,107422,-1.5149088,-24.895748,1,-25.140959,8.292541,2,107422
25,227432,-4.3052845,46.9743,0,10.520383,44.34646,0,227432
26,138231,-8.007176,6.8577013,3,17.024,-1.9677185,1,138231
27,196750,15.016005,-29.53456,1,-9.741205,-4.8296437,2,196750
28,159138,16.563864,42.479694,0,6.484499,41.04461,0,159138
29,204420,15.506141,-16.222956,1,-14.946202,6.2726307,2,204420
30,129937,0.6181766,-36.275047,1,-17.336887,-32.65328,3,129937
31,894067,18.466677,8.618714,2,-6.5343103,1.6518016,2,894067
32,392447,27.439243,17.463158,2,-4.7766676,35.7876,0,392447
33,169141,-4.9356656,39.20945,0,24.841238,32.495995,0,169141
34,121315,-23.959997,4.363378,3,22.719131,-19.217442,1,121315
35,188448,-28.64319,4.95142,3,17.77006,-27.547737,1,188448
36,168745,3.7813075,46.33867,0,36.622757,-10.182448,1,168745
37,199655,9.595469,-25.391985,1,-27.01003,-8.868251,2,199655
38,192439,0.3795974,-39.646683,1,-25.277058,-28.797464,2,192439
39,871762,23.18096,-11.557794,2,-20.162056,22.393143,0,871762
40,389357,-30.882786,-2.4162333,3,13.924553,-11.244659,1,389357
41,193845,-1.4209518,26.088398,0,11.888598,10.032867,1,193845
42,151728,-13.581589,-29.239391,1,-18.90235,-24.606464,2,151728
43,134425,-4.225504,33.142147,0,18.313246,33.14211,0,134425
44,178950,-11.056242,-0.067037016,3,11.45282,-1.4707005,1,178950
45,626648,-20.417892,39.500027,0,25.189127,22.733974,0,626648
46,209329,-23.214872,-11.95881,3,-6.3387594,-23.731665,3,209329
47,122418,0.93664193,26.591312,0,11.009225,15.093177,1,122418
48,101309,21.398546,14.837008,2,0.9763191,18.271307,0,101309
49,424939,-8.598518,22.351973,0,17.938251,17.356922,1,424939
50,154734,1.2035357,43.037895,0,21.957397,36.890438,0,154734
51,152831,16.004282,-29.306946,1,-7.9754906,-5.615006,2,152831
52,720337,-34.966106,-11.199777,3,7.5377684,-30.12295,3,720337
53,667056,2.7666264,27.63467,0,23.83071,-4.0021315,1,667056
54,136227,34.914192,-7.3977427,2,-22.616068,28.817165,0,136227
55,151930,27.403868,-9.027155,2,-28.676525,16.173397,2,151930
56,154330,28.82822,-10.936228,2,-25.951723,19.61919,0,154330
57,207628,23.541746,20.933367,2,0.7145167,19.703823,0,207628
58,118124,-1.1092597,-7.7329035,3,-12.43597,-11.344436,2,118124
